Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,66.112,75.732,75.610
Iteration1,64.037,82.845,81.463
Iteration2,65.176,82.845,81.463
Iteration3,63.216,82.845,81.463
Iteration4,63.712,82.845,81.463
Iteration5,62.376,82.845,81.463
Iteration6,60.845,81.172,78.049
Iteration7,60.082,80.962,79.024
Iteration8,60.452,80.962,79.024
Iteration9,61.818,80.962,79.024
Iteration10,61.499,80.962,79.024
Iteration11,61.325,78.870,78.537
Iteration12,61.760,82.008,79.512
Iteration13,59.397,74.059,70.244
Iteration14,59.166,83.473,84.390
Iteration15,59.079,83.473,84.390
Iteration16,58.490,83.473,84.390
Iteration17,57.959,84.519,80.488
Iteration18,56.578,84.519,80.488
Iteration19,58.114,85.356,83.902
Iteration20,59.252,85.356,83.902
Iteration21,59.522,85.356,83.902
Iteration22,58.976,85.356,83.902
Iteration23,56.511,85.356,83.902
Iteration24,56.654,85.356,83.902
Iteration25,55.121,85.356,83.902
Iteration26,56.384,85.356,83.902
Iteration27,56.371,85.356,83.902
Iteration28,56.631,85.356,83.902
Iteration29,56.620,87.238,85.366
Iteration30,55.288,87.238,85.366
Iteration31,55.318,87.238,85.366
Iteration32,54.859,87.238,85.366
Iteration33,54.453,87.238,85.366
Iteration34,54.051,87.238,85.366
Iteration35,52.990,83.682,76.585
Iteration36,51.315,84.937,82.927
Iteration37,51.569,86.611,87.805
Iteration38,50.595,88.075,86.341
Iteration39,49.621,88.075,86.341
Iteration40,48.290,88.075,86.341
Iteration41,47.410,87.657,86.829
Iteration42,46.813,87.657,86.829
Iteration43,46.186,87.657,86.829
Iteration44,44.520,86.611,85.366
Iteration45,44.251,87.448,86.341
Iteration46,44.445,86.402,83.902
Iteration47,43.608,86.611,89.268
Iteration48,42.454,86.611,89.268
Iteration49,41.595,85.565,84.390
Iteration50,41.215,85.565,82.927
Iteration51,40.844,85.983,83.415
Iteration52,40.007,85.983,83.415
Iteration53,39.861,87.866,85.366
Iteration54,39.504,87.657,89.756
Iteration55,39.263,87.657,89.756
Iteration56,39.194,87.657,89.756
Iteration57,38.274,87.238,89.268
Iteration58,38.587,87.238,89.268
Iteration59,37.898,87.238,89.268
Iteration60,37.470,87.866,85.366
Iteration61,38.832,87.866,85.366
Iteration62,38.815,88.912,89.268
Iteration63,38.138,88.912,89.268
Iteration64,38.003,88.912,89.268
Iteration65,38.025,88.703,88.293
Iteration66,37.629,88.703,88.293
Iteration67,37.333,88.703,88.293
Iteration68,37.285,88.703,88.293
Iteration69,36.640,85.983,84.878
Iteration70,36.318,85.983,84.878
Iteration71,36.112,86.611,85.366
Iteration72,35.563,87.657,88.293
Iteration73,35.351,85.146,85.366
Iteration74,36.253,85.565,87.317
Iteration75,35.783,85.146,85.366
Iteration76,35.099,87.238,87.805
Iteration77,35.072,87.238,87.805
Iteration78,34.544,87.238,87.805
Iteration79,34.008,87.238,87.805
Iteration80,34.112,87.238,87.805
Iteration81,32.958,87.866,89.268
Iteration82,32.380,89.121,88.293
Iteration83,32.730,86.611,85.854
Iteration84,32.295,86.611,85.854
Iteration85,32.227,87.238,89.268
Iteration86,32.563,88.912,89.268
Iteration87,31.933,88.285,90.732
Iteration88,31.795,89.121,90.244
Iteration89,30.999,89.121,90.244
Iteration90,30.770,89.331,90.244
Iteration91,30.300,89.121,90.244
Iteration92,29.330,89.121,90.244
Iteration93,29.114,89.749,90.244
Iteration94,29.090,87.866,88.293
Iteration95,29.183,87.657,87.317
Iteration96,29.095,89.121,89.268
Iteration97,29.140,88.494,89.756
Iteration98,29.113,90.167,90.244
Iteration99,29.154,88.075,88.293
Iteration100,28.581,88.285,89.756
Iteration101,28.681,88.285,89.756
Iteration102,28.506,88.285,89.756
Iteration103,27.997,89.749,88.780
Iteration104,27.404,89.331,86.341
Iteration105,27.915,88.703,90.732
Iteration106,27.699,88.703,90.732
Iteration107,28.007,88.703,90.732
Iteration108,27.784,89.958,91.707
Iteration109,27.472,89.540,89.756
Iteration110,27.229,89.121,89.756
Iteration111,27.025,88.494,90.732
Iteration112,26.960,88.703,90.244
Iteration113,25.985,89.958,90.244
Iteration114,25.731,90.167,90.244
Iteration115,25.723,89.540,90.244
Iteration116,25.474,89.540,90.244
Iteration117,25.076,89.540,90.244
Iteration118,25.449,88.703,90.732
Iteration119,25.433,90.167,91.220
Iteration120,25.147,90.167,91.220
Iteration121,25.056,89.331,89.756
Iteration122,24.740,88.703,90.732
Iteration123,24.827,89.540,89.268
Iteration124,24.572,88.494,89.268
Iteration125,24.494,88.285,89.756
Iteration126,24.126,89.540,90.732
Iteration127,24.152,89.540,90.732
Iteration128,23.999,89.958,92.195
Iteration129,24.204,89.540,90.244
Iteration130,23.934,89.540,92.195
Iteration131,23.808,89.331,89.756
Iteration132,23.711,89.331,89.756
Iteration133,23.493,90.167,90.244
Iteration134,23.421,90.377,88.780
Iteration135,23.153,90.167,92.195
Iteration136,23.541,89.958,89.756
Iteration137,23.455,89.958,89.756
Iteration138,23.392,89.958,88.780
Iteration139,23.318,89.958,88.780
Iteration140,23.234,89.958,88.780
Iteration141,23.418,89.958,88.780
Iteration142,23.192,89.958,90.732
Iteration143,22.788,90.167,90.244
Iteration144,22.855,90.377,92.195
Iteration145,22.569,90.795,90.732
Iteration146,22.692,90.795,90.732
Iteration147,22.710,90.377,90.732
Iteration148,22.610,90.167,89.756
Iteration149,22.588,91.004,91.220
Iteration150,22.836,89.958,91.220
Iteration151,22.871,89.958,91.220
Iteration152,22.780,89.121,91.220
Iteration153,22.632,90.795,89.268
Iteration154,22.421,89.331,89.756
Iteration155,22.595,89.331,90.244
Iteration156,22.548,89.540,91.707
Iteration157,22.431,89.121,88.780
Iteration158,22.441,89.540,90.732
Iteration159,22.550,90.377,91.707
Iteration160,22.513,90.167,89.756
Iteration161,22.480,90.167,89.756
Iteration162,22.527,90.795,90.732
Iteration163,22.616,90.795,90.732
Iteration164,22.556,89.121,91.707
Iteration165,22.426,90.586,89.756
Iteration166,22.578,90.586,89.756
Iteration167,22.785,91.423,91.220
Iteration168,22.687,90.377,91.707
Iteration169,22.620,90.586,92.195
Iteration170,22.532,90.167,91.220
Iteration171,22.387,89.331,90.244
Iteration172,22.098,89.331,90.244
Iteration173,22.114,89.331,90.244
Iteration174,22.150,89.331,90.244
Iteration175,22.121,90.586,90.732
Iteration176,22.024,90.586,91.220
Iteration177,22.063,90.167,91.707
Iteration178,21.907,89.540,89.268
Iteration179,21.985,90.795,89.756
Iteration180,22.091,90.167,90.732
Iteration181,22.051,90.167,90.732
Iteration182,22.018,90.167,90.732
Iteration183,21.929,90.167,90.732
Iteration184,21.779,90.167,90.732
Iteration185,21.522,90.586,91.220
Iteration186,21.674,91.213,93.171
Iteration187,21.637,89.540,90.732
Iteration188,21.606,89.540,90.732
Iteration189,21.469,89.540,90.732
Iteration190,21.511,89.540,90.732
Iteration191,21.474,89.958,91.220
Iteration192,21.363,90.377,89.268
Iteration193,21.339,90.167,90.732
Iteration194,21.277,89.749,90.732
Iteration195,21.124,89.749,90.244
Iteration196,21.028,91.004,91.220
Iteration197,21.014,89.749,91.220
Iteration198,20.967,90.377,89.756
Iteration199,21.117,90.377,89.756
Iteration200,21.099,90.377,90.244
Iteration201,21.160,90.586,89.268
Iteration202,20.969,90.167,89.756
Iteration203,20.904,90.377,91.220
Iteration204,20.800,91.213,92.683
Iteration205,20.798,89.331,91.707
Iteration206,20.805,91.213,92.683
Iteration207,20.748,90.167,91.220
Iteration208,20.671,89.540,90.732
Iteration209,20.710,90.586,89.756
Iteration210,20.704,90.167,92.195
Iteration211,20.663,90.167,92.195
Iteration212,20.706,89.958,89.756
Iteration213,20.755,91.004,89.268
Iteration214,20.648,90.167,90.732
Iteration215,20.491,91.004,91.707
Iteration216,20.544,90.377,91.220
Iteration217,20.581,90.586,89.756
Iteration218,20.582,90.167,90.732
Iteration219,20.517,91.004,90.732
Iteration220,20.435,91.004,90.732
Iteration221,20.247,90.795,91.220
Iteration222,20.160,90.586,90.244
Iteration223,19.993,90.377,92.195
Iteration224,19.844,90.795,90.244
Iteration225,19.942,90.795,90.244
Iteration226,19.954,90.795,90.244
Iteration227,19.987,90.795,90.244
Iteration228,19.970,91.423,91.220
Iteration229,19.950,91.423,91.220
Iteration230,19.971,91.423,91.220
Iteration231,19.988,90.586,92.195
Iteration232,19.748,91.004,90.244
Iteration233,19.839,90.795,91.707
Iteration234,19.879,90.586,91.220
Iteration235,19.841,90.586,91.707
Iteration236,19.875,91.213,91.707
Iteration237,19.770,90.586,91.220
Iteration238,19.648,90.795,91.707
Iteration239,19.664,91.004,89.268
Iteration240,19.583,91.213,91.707
Iteration241,19.626,91.213,91.707
Iteration242,19.539,91.213,91.707
Iteration243,19.480,90.586,90.244
Iteration244,19.508,90.167,90.732
Iteration245,19.469,91.632,92.195
Iteration246,19.372,90.795,89.756
Iteration247,19.369,91.004,92.683
Iteration248,19.432,91.004,92.683
Iteration249,19.439,91.004,90.244
Iteration250,19.339,91.004,90.244
Iteration251,19.461,91.004,90.244
Iteration252,19.365,91.632,92.195
Iteration253,19.329,90.377,90.732
Iteration254,19.319,91.213,93.171
Iteration255,19.355,90.167,91.220
Iteration256,19.297,90.586,91.707
Iteration257,19.354,89.958,91.707
Iteration258,19.349,91.004,91.220
Iteration259,19.362,90.795,91.707
Iteration260,19.240,90.586,90.732
Iteration261,19.240,90.586,92.683
Iteration262,19.136,90.795,91.707
Iteration263,19.152,90.795,90.244
Iteration264,19.035,90.795,91.707
Iteration265,19.006,90.795,91.707
Iteration266,18.915,90.795,91.707
Iteration267,18.933,90.586,92.195
Iteration268,18.883,91.423,91.707
Iteration269,18.844,90.795,91.220
Iteration270,18.947,91.213,91.707
Iteration271,18.984,91.213,91.707
Iteration272,18.974,91.213,91.707
Iteration273,18.901,91.423,90.732
Iteration274,18.865,91.423,90.732
Iteration275,18.861,91.423,90.732
Iteration276,18.847,91.423,90.732
Iteration277,18.872,89.958,92.195
Iteration278,18.917,91.632,92.683
Iteration279,18.915,91.632,92.683
Iteration280,18.830,91.632,92.683
Iteration281,18.760,91.632,92.683
Iteration282,18.707,90.586,92.195
Iteration283,18.803,91.213,90.244
Iteration284,18.734,91.213,91.220
Iteration285,18.896,90.586,91.707
Iteration286,18.893,90.586,91.707
Iteration287,18.871,89.958,92.683
Iteration288,18.839,91.004,91.220
Iteration289,18.858,90.795,92.195
Iteration290,18.842,90.795,91.707
Iteration291,18.786,91.841,90.732
Iteration292,18.699,90.795,91.707
Iteration293,18.700,91.213,90.732
Iteration294,18.703,91.213,90.732
Iteration295,18.650,91.632,90.732
Iteration296,18.654,91.632,90.732
Iteration297,18.729,91.213,90.732
Iteration298,18.665,90.586,92.683
Iteration299,18.628,91.423,93.659
Iteration300,18.612,89.540,91.707
Iteration301,18.599,91.632,91.707
Iteration302,18.614,91.632,91.707
Iteration303,18.620,90.795,90.732
Iteration304,18.631,91.004,92.683
Iteration305,18.653,91.004,91.220
Iteration306,18.707,91.423,93.171
Iteration307,18.691,91.632,91.707
Iteration308,18.608,91.423,93.171
Iteration309,18.576,91.213,91.707
Iteration310,18.524,91.213,91.707
Iteration311,18.499,90.795,92.683
Iteration312,18.466,91.213,91.707
Iteration313,18.484,91.213,91.707
Iteration314,18.493,90.377,93.171
Iteration315,18.498,90.377,93.171
Iteration316,18.445,90.377,93.171
Iteration317,18.425,89.958,92.195
Iteration318,18.395,91.632,91.707
Iteration319,18.387,90.795,92.195
Iteration320,18.349,90.795,92.195
Iteration321,18.342,91.423,92.195
Iteration322,18.322,90.795,92.195
Iteration323,18.331,90.795,92.195
Iteration324,18.316,90.795,92.195
Iteration325,18.325,91.004,91.220
Iteration326,18.310,91.213,92.683
Iteration327,18.370,91.213,92.683
