Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,67.432,35.146,44.390
Iteration1,67.430,35.146,44.390
Iteration2,66.371,41.213,48.293
Iteration3,66.343,41.213,48.293
Iteration4,64.769,50.209,49.268
Iteration5,64.769,50.209,49.268
Iteration6,64.769,50.209,49.268
Iteration7,64.769,50.209,49.268
Iteration8,64.769,50.209,49.268
Iteration9,64.424,47.071,49.268
Iteration10,59.689,56.485,58.049
Iteration11,59.611,56.485,58.049
Iteration12,59.611,56.485,58.049
Iteration13,59.594,56.485,58.049
Iteration14,59.594,56.485,58.049
Iteration15,59.594,56.485,58.049
Iteration16,59.594,56.485,58.049
Iteration17,59.594,56.485,58.049
Iteration18,59.594,56.485,58.049
Iteration19,59.594,56.485,58.049
Iteration20,59.594,56.485,58.049
Iteration21,58.969,58.577,60.976
Iteration22,58.964,58.577,60.976
Iteration23,58.964,58.577,60.976
Iteration24,58.943,58.996,60.976
Iteration25,58.943,58.996,60.976
Iteration26,58.813,59.414,62.439
Iteration27,57.229,62.552,62.927
Iteration28,57.229,62.552,62.927
Iteration29,57.229,62.552,62.927
Iteration30,57.229,62.552,62.927
Iteration31,56.101,68.410,65.366
Iteration32,55.685,65.272,64.390
Iteration33,55.685,65.272,64.390
Iteration34,55.685,65.272,64.390
Iteration35,55.685,65.272,64.390
Iteration36,55.685,65.272,64.390
Iteration37,55.685,65.272,64.390
Iteration38,55.685,65.272,64.390
Iteration39,55.650,65.272,63.902
Iteration40,55.381,64.854,64.878
Iteration41,54.395,66.736,65.854
Iteration42,54.185,68.410,65.854
Iteration43,54.185,68.410,65.854
Iteration44,53.678,65.690,71.220
Iteration45,53.678,65.690,71.220
Iteration46,48.556,79.498,80.976
Iteration47,48.556,79.498,80.976
Iteration48,47.769,80.753,80.976
Iteration49,47.769,80.753,80.976
Iteration50,47.760,80.753,80.976
Iteration51,47.760,80.753,80.976
Iteration52,47.760,80.753,80.976
Iteration53,47.044,80.544,80.976
Iteration54,44.547,82.008,80.488
Iteration55,44.547,82.008,80.488
Iteration56,44.544,82.008,80.488
Iteration57,44.544,82.008,80.488
Iteration58,44.544,82.008,80.488
Iteration59,44.542,82.008,80.488
Iteration60,44.542,82.008,80.488
Iteration61,44.542,82.008,80.488
Iteration62,44.218,81.799,80.488
Iteration63,44.211,81.799,80.488
Iteration64,44.211,81.799,80.488
Iteration65,44.127,81.172,80.488
Iteration66,44.127,81.172,80.488
Iteration67,43.946,81.172,80.488
Iteration68,43.946,81.172,80.488
Iteration69,43.946,81.172,80.488
Iteration70,43.921,81.172,80.488
Iteration71,43.921,81.172,80.488
Iteration72,43.918,81.172,80.488
Iteration73,43.905,81.381,80.488
Iteration74,43.905,81.381,80.488
Iteration75,43.857,81.799,80.488
Iteration76,43.857,81.799,80.488
Iteration77,43.857,81.799,80.488
Iteration78,43.857,81.799,80.488
Iteration79,42.677,82.218,79.512
Iteration80,42.677,82.218,79.512
Iteration81,42.677,82.218,79.512
Iteration82,42.677,82.218,79.512
Iteration83,42.360,82.427,79.512
Iteration84,42.360,82.427,79.512
Iteration85,42.360,82.427,79.512
Iteration86,42.051,82.427,78.049
Iteration87,42.051,82.427,78.049
Iteration88,41.922,82.427,78.049
Iteration89,41.922,82.427,78.049
Iteration90,41.922,82.427,78.049
Iteration91,41.922,82.427,78.049
Iteration92,41.922,82.427,78.049
Iteration93,41.922,82.427,78.049
Iteration94,41.922,82.427,78.049
Iteration95,41.922,82.427,78.049
Iteration96,41.922,82.427,78.049
Iteration97,41.922,82.427,78.049
Iteration98,41.922,82.427,78.049
Iteration99,40.945,82.636,77.073
Iteration100,40.945,82.636,77.073
Iteration101,40.945,82.636,77.073
Iteration102,40.797,81.172,75.122
Iteration103,40.457,80.962,75.122
Iteration104,40.414,81.172,74.634
Iteration105,40.414,81.172,74.634
Iteration106,40.414,81.172,74.634
Iteration107,40.414,81.172,74.634
Iteration108,40.342,81.799,75.122
Iteration109,40.342,81.799,75.122
Iteration110,40.073,82.845,77.073
Iteration111,39.141,83.891,78.537
Iteration112,39.141,83.891,78.537
Iteration113,39.141,83.891,78.537
Iteration114,39.141,83.891,78.537
Iteration115,39.141,83.891,78.537
Iteration116,39.141,83.891,78.537
Iteration117,39.141,83.891,78.537
Iteration118,39.141,83.891,78.537
Iteration119,39.141,83.891,78.537
Iteration120,39.141,83.891,78.537
Iteration121,39.141,83.891,78.537
Iteration122,39.141,83.891,78.537
Iteration123,39.123,84.310,79.024
Iteration124,39.123,84.310,79.024
Iteration125,39.070,84.310,79.024
Iteration126,39.070,84.310,79.024
Iteration127,39.070,84.310,79.024
Iteration128,39.070,84.310,79.024
Iteration129,39.056,84.310,79.024
Iteration130,39.056,84.310,79.024
Iteration131,39.056,84.310,79.024
Iteration132,38.555,81.799,75.610
Iteration133,38.551,81.590,75.610
Iteration134,38.551,81.590,75.610
Iteration135,38.551,81.590,75.610
Iteration136,38.551,81.590,75.610
Iteration137,38.551,81.590,75.610
Iteration138,38.551,81.590,75.610
Iteration139,38.551,81.590,75.610
Iteration140,38.551,81.590,75.610
Iteration141,38.519,81.590,75.610
Iteration142,38.332,83.054,76.585
Iteration143,38.332,83.054,76.585
Iteration144,38.332,83.054,76.585
Iteration145,38.332,83.054,76.585
Iteration146,38.331,83.054,76.585
Iteration147,38.331,83.054,76.585
Iteration148,38.331,83.054,76.585
Iteration149,38.331,83.054,76.585
Iteration150,38.331,83.054,76.585
Iteration151,38.331,83.054,76.585
Iteration152,38.331,83.054,76.585
Iteration153,38.005,83.682,77.073
Iteration154,38.005,83.682,77.073
Iteration155,38.004,83.473,77.073
Iteration156,37.987,83.054,77.561
Iteration157,37.549,83.264,78.049
Iteration158,37.549,83.264,78.049
Iteration159,37.247,84.100,78.537
Iteration160,37.247,84.100,78.537
Iteration161,37.247,84.100,78.537
Iteration162,36.829,83.682,79.024
Iteration163,36.829,83.682,79.024
Iteration164,36.827,83.682,79.024
Iteration165,36.827,83.682,79.024
Iteration166,36.827,83.682,79.024
Iteration167,36.827,83.682,79.024
Iteration168,36.027,83.054,78.049
Iteration169,36.027,83.054,78.049
Iteration170,36.014,82.845,77.561
Iteration171,36.012,82.845,77.561
Iteration172,35.983,83.264,78.049
Iteration173,35.981,83.264,78.049
Iteration174,35.981,83.264,78.049
Iteration175,35.514,83.054,78.049
Iteration176,35.514,83.054,78.049
Iteration177,35.506,83.473,78.049
Iteration178,35.449,83.473,77.561
Iteration179,35.333,83.473,77.561
Iteration180,35.323,83.473,78.049
Iteration181,35.323,83.473,78.049
Iteration182,34.361,82.218,80.000
Iteration183,34.354,82.218,79.024
Iteration184,34.354,82.218,79.024
Iteration185,34.354,82.218,79.024
Iteration186,34.131,82.218,79.024
Iteration187,34.131,82.218,79.024
Iteration188,34.131,82.218,79.024
Iteration189,34.131,82.218,79.024
Iteration190,34.131,82.218,79.024
Iteration191,33.998,82.218,79.024
Iteration192,33.998,82.218,79.024
Iteration193,33.405,82.008,78.049
Iteration194,33.405,82.008,78.049
Iteration195,33.405,82.008,78.049
Iteration196,33.405,82.008,78.049
Iteration197,33.054,82.636,79.024
Iteration198,33.054,82.636,79.024
Iteration199,33.054,82.636,79.024
Iteration200,32.994,82.636,79.024
Iteration201,32.994,82.636,79.024
Iteration202,32.994,82.636,79.024
Iteration203,32.923,83.054,79.024
Iteration204,32.887,83.682,79.024
Iteration205,32.887,83.682,79.024
Iteration206,32.884,83.682,79.024
Iteration207,32.884,83.682,79.024
Iteration208,32.741,84.100,82.927
Iteration209,32.741,84.100,82.927
Iteration210,32.739,84.100,82.927
Iteration211,32.739,84.100,82.927
Iteration212,32.682,84.519,83.415
Iteration213,32.450,84.519,81.951
Iteration214,32.450,84.519,81.951
Iteration215,32.450,84.519,81.951
Iteration216,32.449,84.519,81.951
Iteration217,32.385,84.519,83.902
Iteration218,32.383,84.519,83.902
Iteration219,32.383,84.519,83.902
Iteration220,32.383,84.519,83.902
Iteration221,32.383,84.519,83.902
Iteration222,32.383,84.519,83.902
Iteration223,32.383,84.519,83.902
Iteration224,32.383,84.519,83.902
Iteration225,32.383,84.519,83.902
Iteration226,32.383,84.519,83.902
Iteration227,32.382,84.519,83.902
Iteration228,32.382,84.519,83.902
Iteration229,32.349,84.519,83.902
Iteration230,32.349,84.519,83.902
Iteration231,32.346,84.519,83.902
Iteration232,32.346,84.519,83.902
Iteration233,32.346,84.519,83.902
Iteration234,32.346,84.519,83.902
Iteration235,32.346,84.519,83.902
Iteration236,32.346,84.519,83.902
Iteration237,32.346,84.519,83.902
Iteration238,32.336,84.519,83.902
Iteration239,32.178,85.146,84.878
Iteration240,32.178,85.146,84.878
Iteration241,32.178,85.146,84.878
Iteration242,32.178,85.146,84.878
Iteration243,32.178,85.146,84.878
Iteration244,32.178,85.146,84.878
Iteration245,32.178,85.146,84.878
Iteration246,32.178,85.146,84.878
Iteration247,32.178,85.146,84.878
Iteration248,31.853,85.146,84.878
Iteration249,31.853,85.146,84.878
Iteration250,31.853,85.146,84.878
Iteration251,31.853,85.146,84.878
Iteration252,31.853,85.146,84.878
Iteration253,31.853,85.146,84.878
Iteration254,31.853,85.146,84.878
Iteration255,31.853,85.146,84.878
Iteration256,31.850,85.146,84.878
Iteration257,31.850,85.146,84.878
Iteration258,31.850,85.146,84.878
Iteration259,31.850,85.146,84.878
Iteration260,31.209,85.565,84.878
Iteration261,31.209,85.565,84.878
Iteration262,31.209,85.565,84.878
Iteration263,31.209,85.565,84.878
Iteration264,31.209,85.565,84.878
Iteration265,31.209,85.565,84.878
Iteration266,31.209,85.565,84.878
Iteration267,31.143,85.565,84.878
Iteration268,31.143,85.565,84.878
Iteration269,31.143,85.565,84.878
Iteration270,31.126,85.565,84.390
Iteration271,31.126,85.565,84.390
Iteration272,30.415,86.402,84.390
Iteration273,30.352,86.402,84.390
Iteration274,30.352,86.402,84.390
Iteration275,30.352,86.402,84.390
Iteration276,30.343,85.983,83.902
Iteration277,30.343,85.983,83.902
Iteration278,30.343,85.983,83.902
Iteration279,30.343,85.983,83.902
Iteration280,30.343,85.983,83.902
Iteration281,30.329,85.983,83.902
Iteration282,30.329,85.983,83.902
Iteration283,30.329,85.983,83.902
