Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,52.872,62.762,57.561
Iteration1,53.062,62.343,57.561
Iteration2,53.225,62.971,56.585
Iteration3,51.647,64.017,57.073
Iteration4,51.678,64.226,57.561
Iteration5,50.371,64.017,59.512
Iteration6,51.766,64.644,59.024
Iteration7,51.931,64.644,59.024
Iteration8,51.819,64.644,59.024
Iteration9,52.345,64.644,59.024
Iteration10,53.607,59.623,58.049
Iteration11,53.563,60.042,58.049
Iteration12,54.622,57.950,57.073
Iteration13,54.973,57.741,57.073
Iteration14,54.973,57.741,57.073
Iteration15,54.783,57.741,57.073
Iteration16,54.820,57.741,57.073
Iteration17,57.560,56.485,56.585
Iteration18,58.677,51.464,48.293
Iteration19,59.356,51.255,47.805
Iteration20,58.686,51.883,48.780
Iteration21,57.373,54.812,50.244
Iteration22,53.063,62.134,58.537
Iteration23,53.125,62.134,58.537
Iteration24,52.673,63.180,60.976
Iteration25,52.463,63.808,58.537
Iteration26,52.419,63.389,58.537
Iteration27,48.970,73.431,70.732
Iteration28,48.879,73.431,70.732
Iteration29,48.680,73.431,70.732
Iteration30,48.215,72.803,70.244
Iteration31,48.235,72.803,70.244
Iteration32,49.171,73.013,69.756
Iteration33,49.158,73.013,69.756
Iteration34,50.283,73.013,69.756
Iteration35,50.296,73.013,69.756
Iteration36,50.079,73.431,69.756
Iteration37,48.693,77.406,74.146
Iteration38,49.654,76.569,73.659
Iteration39,49.591,75.314,74.146
Iteration40,49.542,76.778,73.659
Iteration41,49.240,76.987,72.683
Iteration42,48.539,77.615,73.171
Iteration43,47.989,76.569,73.659
Iteration44,48.230,76.778,73.659
Iteration45,48.328,76.987,73.659
Iteration46,48.519,76.360,73.171
Iteration47,48.794,74.059,70.244
Iteration48,47.405,80.544,80.000
Iteration49,47.390,80.544,80.000
Iteration50,47.610,81.381,80.488
Iteration51,48.924,80.962,77.561
Iteration52,48.924,80.962,77.561
Iteration53,49.442,80.753,77.561
Iteration54,49.499,80.753,77.561
Iteration55,49.079,81.172,77.073
Iteration56,53.740,71.339,71.707
Iteration57,54.415,70.084,70.244
Iteration58,54.404,70.084,70.244
Iteration59,54.534,67.573,65.854
Iteration60,54.697,69.874,71.707
Iteration61,55.197,62.762,62.439
Iteration62,55.448,62.343,61.951
Iteration63,55.739,62.343,61.463
Iteration64,59.046,47.699,47.805
Iteration65,59.697,46.234,44.878
Iteration66,59.549,46.234,44.878
Iteration67,59.187,46.234,44.878
Iteration68,59.111,46.234,44.878
Iteration69,60.368,45.188,44.878
Iteration70,60.318,45.397,44.878
Iteration71,66.969,39.331,41.951
Iteration72,66.969,39.331,41.951
Iteration73,65.338,41.841,46.829
Iteration74,62.806,43.724,48.293
Iteration75,62.815,43.724,48.293
Iteration76,63.617,43.096,48.293
Iteration77,64.926,39.121,41.951
Iteration78,65.326,39.121,41.951
Iteration79,66.706,38.912,42.439
Iteration80,67.062,38.703,42.439
Iteration81,66.194,38.912,41.951
Iteration82,66.111,38.912,41.951
Iteration83,65.145,39.121,41.463
Iteration84,64.943,39.121,41.463
Iteration85,67.093,39.331,41.463
Iteration86,66.188,39.121,41.463
Iteration87,67.370,39.331,41.463
Iteration88,68.233,39.540,41.463
Iteration89,68.348,39.749,41.463
Iteration90,68.348,39.749,41.463
Iteration91,67.793,39.958,41.463
Iteration92,64.359,40.586,42.927
Iteration93,64.120,40.586,42.927
Iteration94,64.039,40.586,42.927
Iteration95,63.945,40.586,42.927
Iteration96,66.937,39.749,41.951
Iteration97,67.554,36.192,38.537
Iteration98,68.078,36.192,37.561
Iteration99,68.009,36.192,37.561
Iteration100,69.304,36.192,37.561
Iteration101,69.993,36.192,37.561
Iteration102,69.974,36.192,37.561
Iteration103,67.454,39.331,40.488
Iteration104,67.472,39.331,40.488
Iteration105,66.752,39.331,40.488
Iteration106,66.751,39.331,40.488
Iteration107,66.753,39.331,40.488
Iteration108,66.760,39.331,40.488
Iteration109,66.799,39.331,40.488
Iteration110,63.747,39.958,41.463
Iteration111,63.748,39.958,41.463
